familyName,givenName,additionalName,honorificPrefix,birthDate
Plenderleith,Barthel,,,1959-01-11
Siggee,Averell,,,1954-12-21
Bertomieu,Merill,,Rev,1982-09-17
Mooring,Jedidiah,,Honorable,1930-07-29
Talloe,Deck,,,1963-06-21
Yell,Archer,,Dr,1992-03-15
Michin,Maurits,,Dr,1943-10-28
Betton,Hieronymus,Worthy,,
Epsley,Sax,Toddy,,1982-08-19
Lantuffe,Andre,,,1993-09-01
Tivers,Spike,,,2003-12-27
Rimell,Vaughn,,,1986-03-12
Huckfield,Oates,Devlin,,1943-07-19
Bausmann,Zerk,,,1998-04-30
Snary,Arturo,,,
Snoxill,Sheffie,,,1960-08-23
Troy,Zackariah,Frasier,,1982-08-13
Wontner,Billie,,,1968-09-17
Stuffins,Cordell,Mervin,,
Cowper,Hercule,,Rev,1935-10-21
Feldhammer,Brook,Gasper,,1998-09-05
Lawry,Crawford,,,1956-01-30
Luckcuck,Jeth,,,1933-08-17
Mokes,Desmund,,,
Binestead,Wiley,Cello,,1936-04-11
Bedlington,Toddy,,,
O'Dee,Dolf,Fred,,1943-02-16
Yate,Cletus,,,
Tadman,Moore,,,1978-03-28
Sirmon,Corrie,,,1979-12-19
Abramov,Arthur,,Ms,1951-11-12
Woodroffe,Clarence,,,1979-11-17
Tirkin,August,Horton,,1941-10-17
Butrimovich,Jon,Dewitt,,1959-03-12
Fewlass,Allyn,,,
Wickwar,Connor,,,1942-09-13
Dingle,Prentice,,,
Glanders,Rafaello,,,1972-10-06
Walsh,Friedrich,Pippo,,
Cleife,Timotheus,,,
Morrowe,Courtnay,,,1930-03-18
Rodenhurst,Robb,,,
Caves,Claudio,,,
Baudts,Noam,Samuele,,1998-12-07
Medlen,Tris,,,1993-11-15
Finlayson,Demott,Percival,Rev,1946-12-07
Ciani,Gayelord,,,
Larkcum,Zechariah,Kyle,,1977-10-19
Alesio,Earle,Zolly,,1990-11-15
Dansie,Rand,Lothario,,
Butt Gow,Kevon,,,1984-04-03
Sebright,Rem,,,1970-02-16
Tschursch,Giordano,,,1986-05-01
Averay,Brant,,,1951-06-08
Robez,Jeffry,,,1966-01-07
Laboune,Gian,,,
Prestie,Carl,,,1957-12-08
Heminsley,Courtnay,,Honorable,1951-08-06
Dorey,Kerwinn,,,
Bohlin,Reidar,,,1995-02-10
Porcher,Irving,Alyosha,,
Revett,Cirstoforo,,,
Cole,Meryl,,,1931-12-23
McDell,Wainwright,,,1956-11-26
Fellman,Sutherland,,,
Blackshaw,Michele,,,
Greiswood,Jerrome,,,1967-12-22
Shankster,Chucho,Phip,,1992-03-11
De-Ville,Hugibert,Ralf,,1943-10-06
Barnet,Rancell,,,
O' Byrne,Madison,,,
Okenden,Gallard,Berty,,1980-09-01
Mackriell,Orton,,,
Edleston,Pace,,,1932-12-21
MacLice,Alexandre,,,
Emmins,Chev,Boote,,1957-03-26
Blundell,Burlie,,,1975-08-05
Edensor,Enrico,,,1983-12-29
Jukes,Errol,,Honorable,1975-06-07
Mapham,Romeo,Chris,,
Brummell,Briant,,Mrs,1977-08-23
Bucklee,Quentin,,,1955-08-30
Davis,Erin,,,1996-08-12
Conws,Kermy,Bale,,1968-01-18
Dumphry,Marmaduke,,,1934-12-24
Readett,Ronny,,,1974-02-13
Basilotta,Andy,Baron,,1945-12-23
Pescud,Dov,Conn,Honorable,1942-01-26
Brandrick,Darcy,,Honorable,
Brettoner,Rolph,Myca,,1957-05-04
Chart,Everett,Kerr,,1989-02-03
Cicccitti,Sidnee,,,1977-03-22
Saterweyte,Merrill,Horatio,,1963-01-15
Mildner,Burnard,Tomas,,1942-01-21
Crackel,Portie,,,1963-05-18
Corking,Corny,,Rev,
Iozefovich,Carling,Nichole,,1987-09-21
Heustace,Reggis,Esme,Mrs,1960-01-15
Bayston,Ive,Robby,,1963-09-27
Knapman,Caryl,,,1994-02-20
Neaves,Talbert,,Rev,
Collingridge,Horton,Travers,,1960-11-05
Deverock,Zacharie,Buddy,,
Courtliff,Jens,Findlay,,1962-05-16
Fieldstone,Alejoa,,,1986-03-23
Shelper,Kerry,,,1956-12-18
Penhale,Terrill,,,1964-01-09
Danter,Frederico,,Rev,1970-04-01
Bernadon,Randi,,,
Storek,Dannie,,,1966-09-15
Brandle,North,,,
Scamadin,Brantley,,Mr,1944-07-11
Lindhe,Skell,,,1963-07-04
Gander,Randolf,,,
Uttley,Shaw,,,1983-09-07
Fairbridge,Sauncho,,,1936-03-28
Jenking,Sutherland,Rriocard,Mrs,1975-03-07
Valentinuzzi,Royall,,,1979-03-18
Vicarey,Adolpho,,Honorable,1987-05-13
Freake,Antonino,Sawyer,,1980-05-03
Dodshon,Aylmer,Griffy,,
Yosifov,Zacharia,Irvine,,1993-11-17
Smales,Pavel,,Mr,
Ryson,Sammy,,,
Brinkley,Hillyer,,,1987-10-20
Bathoe,Merill,,,1936-01-20
Wallace,Banky,,,
Marsie,Upton,Kalvin,,
Grinaugh,Hillard,,,
Demaid,Kennan,Humberto,,1967-08-07
Colbourn,Sylvester,,,2002-02-04
Eldrid,Alejoa,,,1943-05-14
Hamsher,Phil,,Ms,1948-10-31
Hebble,Garv,Casper,,1979-09-17
Neller,Link,Tymon,,1932-08-24
Dacre,John,,,1976-04-13
Bagworth,Danny,,,1945-03-16
Hapgood,Christian,,,1954-04-01
Bundy,Lutero,Bartram,,1988-02-15
Blitz,Sheff,Andreas,,1974-12-10
McGoogan,Raffarty,,Rev,1947-05-06
Pim,Rab,,Ms,
Balam,Tamas,,,2003-01-20
Harvatt,Aldon,,,2003-09-11
Demaid,Farrel,Thebault,,
Pacht,Padgett,,,1973-10-24
Meeus,Ellery,Cassius,,1989-08-20
Patient,Durward,,Mr,
Brolan,Matthiew,,Rev,1984-02-14
Whetton,Bevon,Gal,Dr,
Sabatini,Orin,,,1931-01-17
Thunderchief,Jermayne,,,
Broadberrie,Claybourne,,,1973-09-18
Dono,Lawton,,,1963-09-01
Finding,Ilaire,Cullen,,1978-01-24
Reisenberg,Brooks,Justen,,1964-12-07
Le Brun,Markos,,,
Cogger,Mayne,Tome,Mr,
Le Blanc,Darill,,,
Dewdney,Bartolomeo,,,
MacLeese,Earlie,Niccolo,,1986-02-18
Brolechan,Bartholomeo,,Honorable,1965-07-19
Muspratt,Lou,,,1980-02-22
Seavers,Lemuel,,,1993-12-27
Shingles,Graeme,,,
Hairs,Corbin,,,1932-10-03
Glenny,Bram,,,1956-07-03
Coakley,Kingsley,Kenneth,,
Arnaut,Josiah,,,1945-02-04
Watting,Demott,Nealon,,1946-03-09
Raselles,Bevon,,,1969-01-15
Smallbone,Ravi,,,1942-11-04
McGahy,Urson,Aldridge,,
Ponton,Everett,Gian,,
Ramsden,Gerome,Rhys,,2000-10-09
Aspray,Thane,Roderic,Rev,
Varney,Freddy,,,
Courtenay,Zacharia,Rancell,,1983-03-07
Jaouen,Hube,,,1976-10-04
Woollends,Virgilio,,,1954-07-14
Beecham,Hamlen,,Dr,1968-06-18
Swanton,Bordie,,,
Tippetts,Phil,,,1985-11-19
Scala,Tomaso,Robbert,,1961-09-25
Grenshields,Yancy,,,1971-10-22
Grimolbie,Kiley,Bucky,,1940-08-14
Lippard,Waverly,,,1970-07-11
Heamus,Lindon,Gannon,,
